disaster,fips,svi,population,award_per_capita
4734,12001,0.6099,279729.0,0.0
4734,12003,0.6188,27969.0,0.0
4734,12005,0.7407,181055.0,0.0
4734,12007,0.8867,27816.0,0.0
4734,12009,0.4817,610723.0,0.0
4734,12013,0.8756,13753.0,0.0
4734,12015,0.5953,189900.0,3.217935913638757
4734,12017,0.5698,155173.0,41.00149510546307
4734,12019,0.3649,219650.0,0.0
4734,12021,0.6141,380221.0,0.0
4734,12023,0.9138,69832.0,41.08253465459965
4734,12027,0.9981,34258.0,0.0
4734,12029,0.7719,16737.0,427.5901105335482
4734,12031,0.7935,995708.0,0.0
4734,12035,0.3121,117515.0,0.0
4734,12037,0.9017,12276.0,0.0
4734,12039,0.9742,43746.0,0.0
4734,12041,0.7337,18070.0,52.639179302711675
4734,12045,0.7082,15002.0,0.0
4734,12047,0.9803,13492.0,261.03215683367915
4734,12049,0.993,25528.0,0.0
4734,12053,0.6602,196621.0,16.442176522345026
4734,12057,0.7789,1468560.0,1.9307717968622353
4734,12065,0.7439,14458.0,56.229973716973326
4734,12067,0.8409,8107.0,239.68911311212548
4734,12069,0.6214,386829.0,0.0
4734,12071,0.7086,772902.0,0.0
4734,12073,0.6952,294128.0,0.0
4734,12075,0.7582,43268.0,59.52759106036793
4734,12077,0.8266,7704.0,0.0
4734,12079,0.8638,17986.0,278.27471589013635
4734,12081,0.6332,405069.0,3.5787419921050465
4734,12083,0.8196,378225.0,0.0
4734,12089,0.2539,91538.0,0.0
4734,12095,0.7951,1427403.0,0.0
4734,12097,0.8307,393745.0,0.0
4734,12101,0.7041,569211.0,17.226574504006496
4734,12103,0.7095,959918.0,13.71934679837236
4734,12105,0.8912,736229.0,0.0
4734,12107,0.9835,73604.0,0.0
4734,12109,0.1266,278722.0,0.0
4734,12115,0.3653,439392.0,2.4524615605199913
4734,12117,0.3996,471321.0,0.0
4734,12119,0.3026,131832.0,0.0
4734,12121,0.8457,43881.0,196.72077550648166
4734,12123,0.8062,21421.0,378.9933541851454
4734,12125,0.6669,15524.0,0.0
4734,12127,0.6987,558520.0,0.0
4734,12129,0.3058,33732.0,0.0
